id,title,status,featured,format,regions,tags,displayDate,startDate,endDate,winner1Region,winner1Team,winner2Region,winner2Team,thumbnail,description,watchLiveUrl,watchVodUrl,vod1Label,vod1Url,vod2Label,vod2Url,pageUrl
tgm26-top-16,TGM26 Top 16,ongoing ,FALSE,Coverage,"EMEA, NA",Coverage,May 30th 2026,2026-05-30,,,,,,/images/tournament/apexphl.jpg,Ape Squad is excited to announce that we will be co-streaming the TGM26 Top 16,,,NA,https://www.youtube.com/watch?v=x07htAA1v9A&list=PL1bwu__yJTKFy8G-DTxh-5sHqLq4QYKL1&pp=0gcJCe4COCosWNin,EU,https://www.youtube.com/watch?v=N1GXYuVu7Og&list=PLHtEB-kkW6ck,
classics-i-2026,Ape Squad Classics I,completed,TRUE,League,"EMEA, NA","Finished, Cashout League","April 9 - May 10, 2026",2026-04-09,2026-05-10,NA,ENVY,EU,FIVE FEARS,/images/tournament/classics16x9.jpg,The next chapter begins. Join us for the Classics 2026 League.,,,NA,https://youtube.com/playlist?list=PL1bwu__yJTKEG0YOJBbo-q4OqJodozHYe&si=xV50nwyyiASKPhQl,EU,https://www.youtube.com/watch?v=aHoBb6nNo18&list=PL1bwu__yJTKHUQGQfO1KCwPn3WGdS9SgK,/tournaments/classics-i-2026.html
moons-cct-2026,Moon's Content Creator Tournament,completed,FALSE,Invitational,Global,Creator Tournament,March 22nd 2026,2026-03-22,2026-03-22,NA,NORNS,NA,BIG GUYS,/images/tournament/mooncct.png,Bringing together communities and content creators in one battle!,,https://youtu.be/2yRbTUw4jSA?si=wtmgMNzJxiPdZ8m0,,,,,/tournaments/moonscct.html
battle-for-break-point-2026,Battle for Break Point,completed,FALSE,Tournament,Global,Alternate Mode,January 4th 2026,2026-01-04,2026-01-04,Global,SALMON N STICKS,,,/images/tournament/battleforbreakpoint.png,The ultimate showdown. New legends rose as the squad fought to survive the breaking point.,,https://youtube.com/playlist?list=PL1bwu__yJTKHvJJo7OhfzoGrA27UhK2MA&si=1yBDJV0wfDErlyDt,,,,,/tournaments/battle-for-break-point.html
holiday-snowdown-2025,Holiday Snowdown,completed,FALSE,Tournament,Global,Semi-Pro,December 21st 2025,2025-12-21,2025-12-21,Global,APE REGRESSION,,,/images/tournament/holidaysnowdown.png,December 21st. The frost bites back in our festive end-of-year winter spectacle.,,,,,,,/tournaments/holiday-snowdown.html
ape-squad-worlds-2025,Ape Squad Worlds,completed,FALSE,Championship,Global,3v3 Series,September 13th 2025,2025-09-13,2025-09-13,Global,ENVY,,,/images/tournament/WORLDS.png,The thrilling conclusion of our oceanic world championship. See who survived the tide!,,https://youtube.com/playlist?list=PL1bwu__yJTKFbe2cKee6o80LZRyoAoeDn&si=qQJT2i6crMNva-qe,,,,,/tournaments/tidal-survival.html
volcanic-panic-2025,Volcanic Panic,completed,FALSE,Invitational,Global,3v3 Tournament,June 14th 2025,2025-06-14,2025-06-14,Global,BRICKED,,,/images/tournament/volcanicpanic.png,The heat was on in this explosive invitational where legends were forged in fire.,,https://www.youtube.com/watch?v=JGXmDkka-vw,,,,,/tournaments/volcanic-panic.html
jungle-rumble-2025,Jungle Rumble,completed,FALSE,Tournament,Global,First Ever,February 22nd 2025,2025-02-22,2025-02-22,Global,NOODS,,,/images/tournament/junglerumble.png,Our classic brawl. Revisit the raw energy of the original rumble.,,,,,,,/tournaments/jungle-rumble.html
